file_nm,element_id,amount,unit_ref,decimals,contextref
aaaa.xbrl,jpdei_cor:numberofsubmissiondei,2,,0,FilingDateInstant
aaaa.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,1497578000000,,-6,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,1567843000000,,-6,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,1664933000000,,-6,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,1567427000000,,-6,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,1519435000000,,-6,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,29277000000,,-6,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,56246000000,,-6,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,95501000000,,-6,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,131197000000,,-6,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,124130000000,,-6,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,14191000000,,-6,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,33397000000,,-6,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,59322000000,,-6,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,98946000000,,-6,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,84978000000,,-6,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,30960000000,,-6,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,111329000000,,-6,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,11303000000,,-6,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,103864000000,,-6,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,103802000000,,-6,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,376048000000,,-6,Prior4YearInstant
aaaa.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,481896000000,,-6,Prior3YearInstant
aaaa.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,485655000000,,-6,Prior2YearInstant
aaaa.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,576879000000,,-6,Prior1YearInstant
aaaa.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,656330000000,,-6,CurrentYearInstant
aaaa.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,1512686000000,,-6,Prior4YearInstant
aaaa.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,1703399000000,,-6,Prior3YearInstant
aaaa.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,1722936000000,,-6,Prior2YearInstant
aaaa.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,1688197000000,,-6,Prior1YearInstant
aaaa.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,1796341000000,,-6,CurrentYearInstant
aaaa.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,474.43,,2,Prior4YearInstant
aaaa.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,607.82,,2,Prior3YearInstant
aaaa.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,612.70,,2,Prior2YearInstant
aaaa.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,728.78,,2,Prior1YearInstant
aaaa.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,829.58,,2,CurrentYearInstant
aaaa.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,18.09,,2,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,42.56,,2,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,75.61,,2,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,126.11,,2,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,108.31,,2,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:dilutedearningspersharesummaryofbusinessresults,18.05,,2,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:dilutedearningspersharesummaryofbusinessresults,42.53,,2,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:dilutedearningspersharesummaryofbusinessresults,75.57,,2,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:dilutedearningspersharesummaryofbusinessresults,126.07,,2,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:dilutedearningspersharesummaryofbusinessresults,108.26,,2,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.246,,3,Prior4YearInstant
aaaa.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.280,,3,Prior3YearInstant
aaaa.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.279,,3,Prior2YearInstant
aaaa.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.339,,3,Prior1YearInstant
aaaa.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.362,,3,CurrentYearInstant
aaaa.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.039,,3,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.079,,3,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.124,,3,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.188,,3,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.139,,3,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,29.6,,1,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,19.1,,1,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,12.6,,1,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,7.9,,1,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,8.8,,1,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,17395000000,,-6,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,56105000000,,-6,Prior3YearDuration
